대분류코드,직업수,대표직업(예시)
0,1,경제이익단체고위임원
1,59,"공무원(5급 이상)(현장, 기능업무 수행자 제외) / 공무원(5급 이상)(현장, 기능업무 수행자) / 의회의원/공공단체임원"
2,229,생명과학 연구원 / 자연과학 연구원 / 인문과학 연구원
3,13,회사 사무직 종사자 / 환전상 / 보험 사무원
4,72,강력계수사관 / 경찰특공대원 / 교통경찰관
5,25,자동차 영업원(신차) / 자동차 영업원(중고차) / 제품 및 광고 영업원
6,20,"작물재배원(곡식, 채소, 과수, 원예) / 정원사,조경사 및 원예사 / 낙농업관련 종사원"
7,104,제빵사 및 제과원 / 떡제조원 / 정육가공원 및 도축원
8,112,제분 및 도정 관련 기계조작원 / 식품가공관련 기계조작원 / 섬유제조 기계조작원
9,53,건설 단순 종사원 / 광업 단순 종사원 / 그 외 하역 및 적재 단순 종사원
A,10,군 고위 간부(장성급) / 군장교 (대령-소령) / 군무원(건설기계 운전 및 건설현장 작업)
B,8,"대학(원)생 / 초,중,고등학생 / 전업주부"
Z,1,단일급수
